index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
0,582,38.06564,46.49628,52.16781,27.38682,-0.40941,2.27808,9.80665,0.00746,0.07847,0.03331
1,729,38.11674,46.49628,52.16781,27.38682,-0.40462,2.27808,9.78031,0.0064,0.07981,0.03171
2,876,38.11674,46.54738,52.16781,27.43792,-0.43096,2.28766,9.73722,0.00919,0.07674,0.03158
3,1023,38.11674,46.49628,52.16781,27.38682,-0.41779,2.2721,9.73004,0.01119,0.07847,0.03118
4,1171,38.11674,46.49628,52.16781,27.43792,-0.39863,2.28646,9.67976,0.00759,0.081,0.03291
5,1323,38.11674,46.49628,52.16781,27.38682,-0.37589,2.26731,9.78031,0.00879,0.07714,0.03291
6,1471,38.11674,46.49628,52.16781,27.43792,-0.86431,2.59292,9.44393,0.01865,0.10432,0.02864
7,1619,38.11674,46.54738,52.16781,27.43792,-0.40462,2.24217,9.69771,0.01026,0.08087,0.03291
8,1767,38.11674,46.49628,52.16781,27.43792,-0.38547,2.26491,9.73482,0.00879,0.07861,0.03264
9,1919,38.11674,46.49628,52.16781,27.43792,-0.38307,2.30801,9.7025,0.00813,0.07927,0.03171
10,2067,38.11674,46.49628,52.16781,27.43792,-0.413,2.28048,9.74081,0.00986,0.07901,0.03264
11,2218,38.11674,46.49628,52.16781,27.38682,-0.38427,2.26013,9.77193,0.00893,0.07847,0.03317
12,2369,38.11674,46.49628,52.16781,27.38682,-0.413,2.30562,9.76595,0.00746,0.07874,0.03344
13,2520,38.11674,46.49628,52.16781,27.38682,-0.42138,2.28048,9.61751,0.00586,0.07448,0.03091
14,2675,38.11674,46.49628,52.16781,27.38682,-0.4549,2.23978,9.69293,0.00719,0.07847,0.03277
15,2824,38.11674,46.54738,52.16781,27.38682,-0.38786,2.25294,9.73243,0.00746,0.07874,0.03264
16,2972,38.11674,46.49628,52.16781,27.38682,-0.39863,2.25175,9.70011,0.00759,0.07781,0.03131
17,3120,38.11674,46.49628,52.16781,27.43792,-0.39983,2.28527,9.75877,0.00813,0.07887,0.03224
18,3268,38.11674,46.54738,52.16781,27.38682,-0.43574,2.29245,9.76954,0.01039,0.08047,0.03171
19,3420,38.11674,46.54738,52.16781,27.38682,-0.39025,2.24456,9.65582,0.00853,0.07927,0.03238
20,3568,38.06564,46.49628,52.16781,27.38682,-0.41539,2.27329,9.77912,0.00986,0.081,0.03344
21,3716,38.11674,46.49628,52.16781,27.43792,-0.4118,2.28048,9.70011,0.00933,0.08127,0.03238
22,3864,38.11674,46.49628,52.16781,27.43792,-0.46567,2.28407,9.75877,0.00999,0.07927,0.03304
23,4012,38.11674,46.44519,52.16781,27.38682,-0.42258,2.25055,9.70011,0.00773,0.08021,0.03211
24,4164,38.11674,46.49628,52.16781,27.38682,-0.42138,2.28766,9.84017,0.00826,0.07954,0.03504
25,4312,38.11674,46.49628,52.16781,27.43792,-0.43455,2.24097,9.73961,0.006,0.0814,0.03424
26,4460,38.11674,46.49628,52.16781,27.43792,-0.47884,2.21823,9.80426,0.00879,0.081,0.03171
27,4608,38.11674,46.49628,52.16781,27.38682,-0.44053,2.25534,9.69293,0.00706,0.07701,0.03424
28,4756,38.11674,46.49628,52.21891,27.38682,0.20351,1.97282,8.55329,0.00706,0.09659,0.01972
29,4905,38.11674,46.49628,52.16781,27.43792,-0.45011,2.26611,9.82341,0.0064,0.07634,0.03277
30,5053,38.11674,46.49628,52.16781,27.43792,-0.40223,2.24576,9.59716,0.006,0.0814,0.03224
31,5201,38.11674,46.49628,52.16781,27.43792,-0.50996,2.5594,10.37288,-0.00093,0.07754,0.03184
32,5351,38.06564,46.49628,52.16781,27.33573,-0.54468,2.32716,10.05565,0.01919,0.14669,0.02838
33,5500,38.06564,46.49628,52.16781,27.38682,-0.38188,2.25294,9.79947,0.00306,0.07354,0.03238
34,5652,38.11674,46.54738,52.16781,27.38682,-0.42258,2.25175,9.5816,0.00986,0.08114,0.03264
35,5800,38.16783,46.54738,52.16781,27.38682,-0.38307,2.23978,9.76834,0.00919,0.07807,0.03331
36,5948,38.11674,46.54738,52.16781,27.38682,-0.4118,2.26851,9.79228,0.00759,0.07741,0.03304
37,6096,38.11674,46.54738,52.16781,27.38682,-0.38547,2.34273,9.83059,0.00373,0.08247,0.03251
38,6244,38.11674,46.54738,52.16781,27.33573,-0.60094,2.21823,10.08917,-0.00067,0.10645,0.02745
39,6409,38.11674,46.49628,52.21891,27.38682,-0.44053,2.36906,9.74919,0.00813,0.07821,0.03344
40,6560,38.11674,46.49628,52.16781,27.43792,-0.47166,2.34632,9.49062,0.0044,0.07554,0.03238
41,6711,38.11674,46.54738,52.16781,27.38682,-0.57221,2.34871,9.9084,-0.0004,0.07115,0.02651
42,6862,38.11674,46.54738,52.16781,27.38682,-0.60573,2.62045,10.39323,0.02012,0.06821,0.03371
43,7013,38.11674,46.54738,52.16781,27.43792,-0.45969,2.25773,9.80785,0.00773,0.08087,0.03531
44,7167,38.11674,46.54738,52.16781,27.38682,-0.53271,2.20147,9.79109,-0.00093,0.07541,0.02864
45,7318,38.11674,46.54738,52.16781,27.38682,-0.47046,2.24456,9.84376,0.00719,0.0838,0.03144
46,7469,38.11674,46.54738,52.16781,27.43792,-0.40701,2.26252,9.77912,0.01119,0.08114,0.03384
47,7620,38.11674,46.49628,52.16781,27.43792,-0.44532,2.20027,9.79707,0.00613,0.08047,0.03304
48,7774,38.11674,46.54738,52.16781,27.38682,-0.50877,2.23978,9.95868,0.02385,0.07674,0.03118
49,7925,38.11674,46.54738,52.16781,27.43792,-0.50996,2.23618,9.81503,0.00506,0.07874,0.03264
50,8076,38.11674,46.54738,52.16781,27.38682,-0.46448,2.28287,9.60195,0.00813,0.07474,0.03184
51,8227,38.11674,46.49628,52.16781,27.43792,-0.41061,2.28527,9.77553,0.01026,0.07754,0.03397
52,8378,38.11674,46.54738,52.16781,27.43792,-0.48123,2.31519,9.87967,0.01439,0.08567,0.03371
53,8532,38.11674,46.49628,52.16781,27.43792,-0.47645,2.2314,9.86052,0.0056,0.06528,0.03637
54,8683,38.11674,46.54738,46.70066,27.33573,-0.38906,2.19429,10.71286,0.01665,0.11898,0.02891
55,8834,38.11674,46.44519,52.16781,27.38682,-0.44053,2.24217,9.71567,0.00693,0.07901,0.03238
56,8985,38.11674,46.54738,52.21891,27.38682,-0.50159,2.36547,9.81144,0.01013,0.07901,0.03451
57,9136,38.11674,46.54738,52.16781,27.43792,-0.40941,2.27569,9.70011,0.00893,0.07981,0.03437
58,9290,38.06564,46.49628,52.16781,27.43792,-0.50637,2.26132,9.68933,0.01266,0.07861,0.03371
59,9441,38.11674,46.54738,52.16781,27.38682,-0.38906,2.22062,9.78271,0.01119,0.07967,0.03357
60,9592,38.16783,46.49628,52.16781,27.43792,-0.59855,2.22421,9.69771,0.0052,0.08074,0.03371
61,9743,38.16783,46.54738,52.16781,27.43792,-0.42497,2.29604,9.71208,0.00733,0.07767,0.03304
62,9894,38.16783,46.54738,52.16781,27.43792,-0.43814,2.2278,9.76834,0.00893,0.08047,0.03224
63,10048,38.16783,46.59847,52.16781,27.43792,-0.45729,2.3535,9.76834,0.00879,0.08021,0.03224
64,10199,38.21893,46.59847,52.16781,27.43792,-0.43694,2.27689,9.72644,0.00866,0.07914,0.03238
65,10350,38.21893,46.59847,52.16781,27.43792,-0.46208,2.2709,9.7456,0.00986,0.08007,0.03384
66,10501,38.21893,46.59847,52.16781,27.43792,-0.43934,2.25055,9.75398,0.00733,0.07941,0.03317
67,10652,38.21893,46.59847,52.16781,27.43792,-0.42138,2.23618,9.7863,0.00813,0.07781,0.03198
68,10806,38.21893,46.59847,52.16781,27.43792,-0.42138,2.25414,9.75517,0.00759,0.08007,0.03264
69,10957,38.21893,46.54738,52.16781,27.48901,-0.43814,2.23738,9.77912,0.00813,0.07967,0.03264
70,11108,38.21893,46.59847,52.16781,27.48901,-0.42497,2.26731,9.72644,0.00866,0.07914,0.03224
71,11259,38.21893,46.59847,52.16781,27.43792,-0.44053,2.25654,9.7863,0.00946,0.07741,0.03118
72,11410,38.21893,46.59847,52.16781,27.43792,-0.43574,2.27808,9.73363,0.00773,0.07901,0.03331
73,11564,38.21893,46.59847,52.16781,27.43792,-0.41779,2.27569,9.73482,0.0064,0.08007,0.03317
74,11715,38.21893,46.59847,52.16781,27.43792,-0.47884,2.28527,9.827,0.00786,0.07954,0.03331
75,11866,38.21893,46.59847,52.16781,27.48901,-0.45011,2.26013,9.76475,0.00773,0.07861,0.03211
76,12017,38.21893,46.54738,52.16781,27.43792,-0.43694,2.27449,9.8258,0.00879,0.07847,0.03411
77,12168,38.21893,46.59847,52.16781,27.43792,-0.40701,2.25534,9.7456,0.01026,0.07954,0.03277
78,12324,38.21893,46.59847,52.16781,27.43792,-0.43574,2.229,9.74679,0.00959,0.07954,0.03317
79,12473,38.21893,46.59847,52.16781,27.48901,-0.42258,2.30801,9.73243,0.00879,0.08194,0.03317
80,12623,38.21893,46.59847,52.16781,27.43792,-0.46567,2.27808,9.75039,0.00866,0.07874,0.03384
81,12773,38.21893,46.54738,52.16781,27.43792,-0.47764,2.27689,9.75398,0.00906,0.07874,0.03291
82,12925,38.21893,46.59847,52.16781,27.48901,-0.45969,2.28646,9.71687,0.0048,0.07927,0.03264
83,13075,38.21893,46.59847,52.16781,27.43792,-0.44173,2.27569,9.75757,0.00946,0.07847,0.03304
84,13225,38.21893,46.59847,52.16781,27.48901,-0.43096,2.28886,9.81024,0.00946,0.07874,0.03251
85,13375,38.21893,46.59847,52.16781,27.43792,-0.41659,2.27808,9.73842,0.00959,0.07914,0.03264
86,13525,38.21893,46.59847,52.16781,27.43792,-0.43335,2.26013,9.78271,0.00973,0.07994,0.03317
87,13678,38.21893,46.59847,52.16781,27.43792,-0.45131,2.26132,9.73123,0.00759,0.07781,0.03397
88,13828,38.21893,46.59847,52.16781,27.43792,-0.43455,2.2709,9.73842,0.00893,0.07861,0.03211
89,13978,38.21893,46.59847,52.27,27.43792,-0.38547,2.2709,9.75877,0.00826,0.07861,0.03477
